FAULT_ID	CITATION
1800	Grellet et al., 1993
1801	Grellet et al., 1993
1802	Grellet et al., 1993
1803	Grellet et al., 1993
1804	Grellet et al., 1993
1805	Grellet et al., 1993
1806	Grellet et al., 1993
1807	Jomard et al., 2017
1807	Lefebvre et al., 1974
1808	Grellet et al., 1993
1808	Jomard et al., 2017
1809	Grellet et al., 1993
1810	Grellet et al., 1993
1811	Grellet et al., 1993
1811	Jomard et al., 2017
1812	Colbeaux et al., 1981
1813	Grellet et al., 1993
1813	Rozanov, data 1996
1814	Grellet et al., 1993
1815	Grellet et al., 1993
1816	Grellet et al., 1993
1817	Grellet et al., 1993
1818	Grellet et al., 1993
1819	Grellet et al., 1993
1820	Grellet et al., 1993
1821	Grellet et al., 1993
1822	Grellet et al., 1993
1823	Grellet et al., 1993
1824	Grellet et al., 1993
1825	Grellet et al., 1993
1826	Basili et al., 2013
1826	Grellet et al., 1993
1826	Vanneste et al., 2013
1827	Grellet et al., 1993
1828	Grellet et al., 1993
1829	Grellet et al., 1993
1830	Grellet et al., 1993
1831	Grellet et al., 1993
1832	Working material, data 2015
1833	Grellet et al., 1993
1834	Grellet et al., 1993
1835	Morner, 1979
1836	Morner, 1979
1837	Morner, 1979
1838	Trifonov, data 1996
1839	Trifonov, data 1996
1840	Morner, 1979
1841	Trifonov, data 1996
1842	Trifonov, data 1996
1843	Trifonov, data 1996
1844	Lagerback, 1990
1845	Lagerback, 1990
1846	Gronlie, 1922
1846	Olesen, 1988
1847	Olesen et al., 1995
1848	Olesen et al., 1995
1849	Kogoshvili, 1970
1849	Kogoshvili, 1975
1849	Kuloshvili, data 1996
1849	Lukina, data 1996
1850	Kogoshvili, 1970
1850	Kogoshvili, 1975
1850	Kuloshvili, data 1996
1850	Lukina, data 1996
1851	Kogoshvili, 1970
1851	Kogoshvili, 1975
1851	Kuloshvili, data 1996
1851	Lukina, data 1996
1852	Kogoshvili, 1970
1852	Kogoshvili, 1975
1853	Map of USSR, 1986
1853	Shults, data 1996
1854	Map of USSR, 1986
1854	Shults, data 1996
1855	Kogoshvili, 1975
1856	Kuloshvili, data 1996
1857	Kuloshvili, data 1996
1857	Onur et al., 2020
1858	Kuloshvili, data 1996
1859	Karakhanian et al., 2004
1859	Kuloshvili, data 1996
1860	Kuloshvili, data 1996
1860	Onur et al., 2020
1861	Kuloshvili, data 1996
1861	Onur et al., 2020
1862	Kuloshvili, data 1996
1863	Lukina, 1983
1863	Lukina, data 1996
1863	Ostrovskiy et al., 1977
1863	Ostrovskiy, 1968
1864	Kuloshvili, data 1996
1864	Lukina, 1983
1864	Lukina, 1991
1865	Lukina et al., 1985
1865	Lukina, 1983
1866	Kuloshvili, data 1996
1867	Kogoshvili, 1975
1867	Onur et al., 2020
1868	Kogoshvili, 1975
1869	Kogoshvili, 1975
1869	Onur et al., 2020
1870	Kogoshvili, 1975
1871	Kogoshvili, 1975
1871	Onur et al., 2020
1872	Kogoshvili, 1975
1873	Rantsman, 1985
1873	Tsirikhova, 1983
1874	Karakhanian et al., 2004
1874	Kuloshvili, data 1996
1875	Kogoshvili, 1975
1876	Kogoshvili, 1975
1877	Kogoshvili, 1975
1878	Kogoshvili, 1975
1879	Kogoshvili, 1975
1880	Kogoshvili, 1975
1881	Basili et al., 2013
1881	Pavlides et al., 1987
1881	Pavlides et al., 1991
1881	Voidomatis et al., 1990
1882	Pavlides et al., 1987
1882	Pavlides et al., 1991
1882	Voidomatis et al., 1990
1883	Basili et al., 2013
1883	Pavlides et al., 1987
1883	Pavlides et al., 1991
1883	Voidomatis et al., 1990
1884	Basili et al., 2013
1884	Pavlides et al., 1987
1884	Pavlides et al., 1991
1884	Voidomatis et al., 1990
1885	Pavlides et al., 1987
1885	Pavlides et al., 1991
1885	Voidomatis et al., 1990
1886	Basili et al., 2013
1887	Pavlides et al., 1990
1887	Pavlides et al., 1991
1888	Basili et al., 2013
1888	Pavlides et al., 1990
1888	Pavlides et al., 1991
1889	Pavlides et al., 1990
1889	Pavlides et al., 1991
1890	Bird, 2003
1890	Pavlides et al., 1990
1890	Pavlides et al., 1991
1891	Bird, 2003
1891	Pavlides et al., 1990
1891	Pavlides et al., 1991
1892	Bird, 2003
1892	Pavlides et al., 1990
1892	Pavlides et al., 1991
1893	Basili et al., 2013
1893	Bird, 2003
1893	Caputo et al., 2013
1893	Pavlides et al., 1990
1893	Pavlides et al., 1991
1894	Bird, 2003
1894	Pavlides et al., 1990
1894	Pavlides et al., 1991
1895	Basili et al., 2013
1895	Caputo et al., 2013
1895	Pavlides et al., 1990
1895	Pavlides et al., 1991
1896	Pavlides et al., 1991
1897	Basili et al., 2013
1897	Bird, 2003
1897	Caputo et al., 2013
1897	Map of Greece, 1989
1897	McKenzie, 1978
1897	Pavlides et al., 1991
1898	Basili et al., 2013
1898	Bird, 2003
1898	Caputo et al., 2013
1898	Map of Greece, 1989
1898	McKenzie, 1978
1898	Pavlides et al., 1991
1898	Tselentis et al., 1986
1899	Basili et al., 2013
1899	Pavlides et al., 1990
1899	Pavlides et al., 1991
1900	Basili et al., 2013
1900	Pavlides et al., 1990
1901	Basili et al., 2013
1901	McKenzie, 1978
1901	Pavlides et al., 1990
1901	Pavlides et al., 1992
1902	Pavlides et al., 1992
1903	Pavlides et al., 1992
1904	McKenzie, 1978
1904	Pavlides et al., 1990
1904	Pavlides et al., 1992
1905	McKenzie, 1978
1905	Pavlides et al., 1990
1905	Pavlides et al., 1992
1906	McKenzie, 1978
1906	Pavlides et al., 1990
1906	Pavlides et al., 1992
1907	McKenzie, 1978
1907	Pavlides et al., 1990
1907	Pavlides et al., 1992
1908	Basili et al., 2013
1908	Bird, 2003
1908	Caputo et al., 2013
1908	Caputo, 1990
1908	Pavlides et al., 1991
1908	Pavlides et al., 1992
1909	Basili et al., 2013
1909	Caputo et al., 2013
1909	Caputo, 1990
1910	Basili et al., 2013
1910	Pavlides et al., 1992
1911	Basili et al., 2013
1911	Pavlides et al., 1992
1912	Basili et al., 2013
1912	Pavlides et al., 1992
1913	Depths etc., 1992
1914	Basili et al., 2013
1914	Caputo et al., 2013
1914	Depths etc., 1992
1915	Seminars etc., 1990
1916	Caputo, 1990
1917	Basili et al., 2013
1917	Caputo et al., 2013
1917	Caputo, 1990
1918	Basili et al., 2013
1918	Caputo, 1990
1919	Basili et al., 2013
1919	Caputo, 1990
1920	Caputo, 1990
1921	Caputo, 1990
1922	Basili et al., 2013
1922	Caputo, 1990
1923	Basili et al., 2013
1923	Caputo, 1990
1924	Papanikolaou et al., 1989
1925	Basili et al., 2013
1925	Caputo et al., 2013
1925	Papanikolaou et al., 1989
1926	Papanikolaou et al., 1989
1927	Papanikolaou et al., 1989
1928	Papanikolaou et al., 1989
1929	Papanikolaou et al., 1989
1930	Papanikolaou et al., 1989
1931	Papanikolaou et al., 1989
1932	Basili et al., 2013
1932	Papanikolaou et al., 1989
1933	Papanikolaou et al., 1989
1934	Papanikolaou et al., 1989
1935	Papanikolaou et al., 1989
1936	Papanikolaou et al., 1989
1937	Papanikolaou et al., 1989
1938	Papanikolaou et al., 1989
1939	Papanikolaou et al., 1989
1940	Papanikolaou et al., 1989
1941	Papanikolaou et al., 1989
1942	Papanikolaou et al., 1989
1943	Papanikolaou et al., 1989
1944	Papanikolaou et al., 1989
1945	Papanikolaou et al., 1989
1946	Papanikolaou et al., 1989
1947	Papanikolaou et al., 1989
1948	Papanikolaou et al., 1989
1949	Papanikolaou et al., 1989
1950	Papanikolaou et al., 1989
1951	Papanikolaou et al., 1989
1952	Basili et al., 2013
1952	Papanikolaou et al., 1989
1953	Papanikolaou et al., 1989
1954	Papanikolaou et al., 1989
1955	Papanikolaou et al., 1989
1956	Papanikolaou et al., 1989
1957	Papanikolaou et al., 1989
1958	Papanikolaou et al., 1989
1959	Papanikolaou et al., 1989
1960	Papanikolaou et al., 1989
1961	Papanikolaou et al., 1989
1962	Papanikolaou et al., 1989
1963	Papanikolaou et al., 1989
1964	Papanikolaou et al., 1989
1965	Papanikolaou et al., 1989
1966	Papanikolaou et al., 1989
1967	Papanikolaou et al., 1989
1968	Papanikolaou et al., 1989
1969	Basili et al., 2013
1969	Map of Greece, 1989
1970	Map of Greece, 1989
1971	Map of Greece, 1989
1972	Map of Greece, 1989
1973	Map of Greece, 1989
1974	Map of Greece, 1989
1975	Map of Greece, 1989
1976	Map of Greece, 1989
1977	Map of Greece, 1989
1978	Map of Greece, 1989
1979	Map of Greece, 1989
1980	Map of Greece, 1989
1981	Bird, 2003
1981	Map of Greece, 1989
1982	Map of Greece, 1989
1983	Map of Greece, 1989
1984	Basili et al., 2013
1984	Map of Greece, 1989
1985	Map of Greece, 1989
1986	Map of Greece, 1989
1987	Map of Greece, 1989
1988	Map of Greece, 1989
1989	Map of Greece, 1989
1990	Basili et al., 2013
1990	Map of Greece, 1989
1991	Basili et al., 2013
1991	Map of Greece, 1989
1991	Pavlides et al., 1991
1991	Philip, 1974
1991	Stiros et al., 1985
1992	Basili et al., 2013
1992	Bird, 2003
1992	Map of Greece, 1989
1992	Pavlides et al., 1991
1992	Philip, 1974
1992	Stiros et al., 1985
1993	Map of Greece, 1989
1993	Pavlides et al., 1991
1993	Philip, 1974
1993	Stiros et al., 1985
1994	Map of Greece, 1989
1994	Pavlides et al., 1991
1994	Philip, 1974
1994	Stiros et al., 1985
1995	Basili et al., 2013
1995	Bird, 2003
1995	Map of Greece, 1989
1996	Bird, 2003
1996	Map of Greece, 1989
1997	Map of Greece, 1989
1998	Map of Greece, 1989
1999	Basili et al., 2013
1999	Map of Greece, 1989
2000	Map of Greece, 1989
2001	Map of Greece, 1989
2002	Map of Greece, 1989
2003	Map of Greece, 1989
2004	Map of Greece, 1989
2005	Map of Greece, 1989
2006	Map of Greece, 1989
2007	Map of Greece, 1989
2008	Basili et al., 2013
2008	Map of Greece, 1989
2009	Map of Greece, 1989
2010	Map of Greece, 1989
2011	Map of Greece, 1989
2012	Map of Greece, 1989
2013	Map of Greece, 1989
2014	Map of Greece, 1989
2015	Map of Greece, 1989
2016	Basili et al., 2013
2016	Caputo et al., 2013
2016	Ganas et al., 2021
2016	Map of Greece, 1989
2017	Basili et al., 2013
2017	Map of Greece, 1989
2018	Basili et al., 2013
2018	Map of Greece, 1989
2019	Map of Greece, 1989
2020	Map of Greece, 1989
2021	Map of Greece, 1989
2022	Map of Greece, 1989
2023	Map of Greece, 1989
2024	Depths etc., 1992
2025	Bird, 2003
2025	Depths etc., 1992
2026	Map of Greece, 1989
2027	Map of Greece, 1989
2028	Map of Greece, 1989
2029	Working material, data 2019
2030	Map of Greece, 1989
2031	Map of Greece, 1989
2032	Map of Greece, 1989
2033	Map of Greece, 1989
2034	Map of Greece, 1989
2035	Map of India, 2000
2035	Nakata, 1989
2036	Map of India, 2000
2036	Nakata, 1989
2037	Valdiya, 1986
2037	Yeats et al., 1992
2038	Lave et al., 2000
2038	Lave et al., 2001
2038	Lave et al., 2005
2038	Map of India, 2000
2038	Valdiya, 1986
2038	Yeats et al., 1991
2038	Yeats et al., 1992
2039	Lave et al., 2000
2039	Lave et al., 2001
2039	Lave et al., 2005
2039	Nakata, 1989
2039	Yeats et al., 1991
2039	Yeats et al., 1992
2040	Valdiya, 1986
2040	Yeats et al., 1992
2041	Lave et al., 2000
2041	Lave et al., 2001
2041	Lave et al., 2005
2041	Valdiya, 1986
2041	Yeats et al., 1991
2041	Yeats et al., 1992
2042	Valdiya, 1986
2042	Yeats et al., 1992
2043	Lave et al., 2000
2043	Lave et al., 2001
2043	Lave et al., 2005
2043	Valdiya, 1986
2043	Yeats et al., 1991
2043	Yeats et al., 1992
2044	Lave et al., 2000
2044	Lave et al., 2001
2044	Lave et al., 2005
2044	Map of India, 2000
2044	Valdiya, 1986
2044	Yeats et al., 1991
2044	Yeats et al., 1992
2045	Lave et al., 2000
2045	Lave et al., 2001
2045	Lave et al., 2005
2045	Map of India, 2000
2045	Valdiya, 1986
2045	Yeats et al., 1991
2045	Yeats et al., 1992
2046	Valdiya, 1986
2046	Yeats et al., 1992
2047	Lave et al., 2000
2047	Lave et al., 2001
2047	Lave et al., 2005
2047	Map of India, 2000
2047	Valdiya, 1986
2047	Yeats et al., 1991
2047	Yeats et al., 1992
2048	Valdiya, 1986
2048	Yeats et al., 1992
2049	Lave et al., 2000
2049	Lave et al., 2001
2049	Lave et al., 2005
2049	Valdiya, 1986
2049	Yeats et al., 1991
2049	Yeats et al., 1992
2050	Lave et al., 2000
2050	Lave et al., 2001
2050	Lave et al., 2005
2050	Valdiya, 1986
2050	Yeats et al., 1991
2050	Yeats et al., 1992
2051	Lave et al., 2000
2051	Lave et al., 2001
2051	Lave et al., 2005
2051	Map of India, 2000
2051	Valdiya, 1986
2051	Yeats et al., 1991
2051	Yeats et al., 1992
2052	Valdiya, 1986
2052	Yeats et al., 1992
2053	Lave et al., 2000
2053	Lave et al., 2001
2053	Lave et al., 2005
2053	Yeats et al., 1991
2053	Yeats et al., 1992
2054	Valdiya, 1986
2054	Yeats et al., 1992
2055	Valdiya, 1986
2055	Yeats et al., 1992
2056	Valdiya, 1986
2056	Yeats et al., 1992
2057	Lave et al., 2000
2057	Lave et al., 2001
2057	Lave et al., 2005
2057	Nakata et al., 1986
2057	Yeats et al., 1991
2057	Yeats et al., 1992
2058	Valdiya, 1986
2058	Yeats et al., 1992
2059	Valdiya, 1986
2059	Yeats et al., 1992
2060	Nakata et al., 1986
2060	Yeats et al., 1992
2061	Nakata et al., 1986
2061	Yeats et al., 1992
2062	Nakata et al., 1986
2062	Yeats et al., 1992
2063	Valdiya, 1986
2063	Yeats et al., 1992
2064	Valdiya, 1986
2064	Yeats et al., 1992
2065	Valdiya, 1986
2065	Yeats et al., 1992
2066	Map of India, 2000
2066	Valdiya, 1986
2066	Yeats et al., 1992
2067	Lave et al., 2000
2067	Lave et al., 2001
2067	Lave et al., 2005
2067	Map of India, 2000
2067	Valdiya, 1986
2067	Yeats et al., 1991
2067	Yeats et al., 1992
2068	Valdiya, 1986
2068	Yeats et al., 1992
2069	Valdiya, 1986
2069	Yeats et al., 1992
2070	Map of India, 2000
2070	Taylor et al., 2009
2070	Valdiya, 1986
2070	Yeats et al., 1992
2071	Valdiya, 1986
2071	Yeats et al., 1992
2072	Nakata, 1989
2072	Yeats et al., 1992
2073	Nakata, 1989
2073	Yeats et al., 1992
2074	Nakata et al., 1986
2074	Nakata, 1989
2074	Yeats et al., 1992
2075	Valdiya, 1986
2075	Yeats et al., 1992
2076	Taylor et al., 2009
2076	Valdiya, 1986
2076	Yeats et al., 1992
2077	Valdiya, 1986
2077	Yeats et al., 1992
2078	Taylor et al., 2009
2078	Valdiya, 1986
2078	Yeats et al., 1992
2079	Taylor et al., 2009
2079	Valdiya, 1986
2079	Yeats et al., 1992
2080	Map of India, 2000
2080	Taylor et al., 2009
2080	Valdiya, 1986
2080	Yeats et al., 1992
2081	Valdiya, 1986
2081	Yeats et al., 1992
2082	Burtman, 2012
2082	Lave et al., 2000
2082	Lave et al., 2001
2082	Lave et al., 2005
2082	Map of India, 2000
2082	Valdiya, 1986
2082	Yeats et al., 1991
2082	Yeats et al., 1992
2083	Lave et al., 2000
2083	Lave et al., 2001
2083	Lave et al., 2005
2083	Map of India, 2000
2083	Nakata, 1989
2083	Yeats et al., 1991
2084	Map of India, 2000
2084	Nakata, 1989
2085	Lave et al., 2000
2085	Lave et al., 2001
2085	Lave et al., 2005
2085	Map of India, 2000
2085	Nakata, 1989
2085	Yeats et al., 1991
2086	Nakata, 1989
2087	Lave et al., 2000
2087	Lave et al., 2001
2087	Lave et al., 2005
2087	Map of India, 2000
2087	Valdiya, 1986
2087	Yeats et al., 1991
2087	Yeats et al., 1992
2088	Nakata, 1989
2088	Yeats et al., 1992
2089	Valdiya, 1986
2089	Yeats et al., 1992
2090	Map of India, 2000
2090	Valdiya, 1986
2090	Yeats et al., 1992
2091	Valdiya, 1986
2091	Yeats et al., 1992
2092	Valdiya, 1986
2092	Yeats et al., 1992
2093	Map of India, 2000
2093	Valdiya, 1986
2093	Yeats et al., 1992
2094	Valdiya, 1986
2094	Yeats et al., 1992
2095	Map of India, 2000
2095	Valdiya, 1986
2095	Yeats et al., 1992
2096	Valdiya, 1986
2096	Yeats et al., 1992
2097	Valdiya, 1986
2097	Yeats et al., 1992
2098	Lave et al., 2000
2098	Lave et al., 2001
2098	Lave et al., 2005
2098	Map of India, 2000
2098	Valdiya, 1986
2098	Yeats et al., 1991
2098	Yeats et al., 1992
2099	Map of India, 2000
2099	Valdiya, 1986
2099	Yeats et al., 1992
2100	Valdiya, 1986
2100	Yeats et al., 1992
2101	Valdiya, 1986
2101	Yeats et al., 1992
2102	Map of India, 2000
2102	Valdiya, 1986
2102	Yeats et al., 1992
2103	Map of India, 2000
2103	Valdiya, 1986
2103	Yeats et al., 1992
2104	Valdiya, 1986
2104	Yeats et al., 1992
2105	Valdiya, 1986
2105	Yeats et al., 1992
2106	Map of India, 2000
2106	Valdiya, 1986
2106	Yeats et al., 1992
2107	Map of India, 2000
2107	Valdiya, 1986
2107	Yeats et al., 1992
2108	Valdiya, 1986
2108	Yeats et al., 1992
2109	Valdiya, 1986
2109	Yeats et al., 1992
2110	Valdiya, 1986
2110	Yeats et al., 1992
2111	Valdiya, 1986
2111	Yeats et al., 1992
2112	Valdiya, 1986
2112	Yeats et al., 1992
2113	Valdiya, 1986
2113	Yeats et al., 1992
2114	Valdiya, 1986
2114	Yeats et al., 1992
2115	Valdiya, 1986
2115	Yeats et al., 1992
2116	Valdiya, 1986
2116	Yeats et al., 1992
2117	Valdiya, 1986
2117	Yeats et al., 1992
2118	Nakata, 1989
2119	Nakata, 1989
2120	Nakata, 1989
2121	Nakata, 1989
2122	Valdiya, 1986
2122	Yeats et al., 1992
2123	Nakata et al., 1986
2123	Nakata, 1989
2123	Yeats et al., 1992
2124	Valdiya, 1986
2124	Yeats et al., 1992
2125	Valdiya, 1986
2125	Yeats et al., 1992
2126	Valdiya, 1986
2126	Yeats et al., 1992
2127	Valdiya, 1986
2127	Yeats et al., 1992
2128	Valdiya, 1986
2128	Yeats et al., 1992
2129	Valdiya, 1986
2129	Yeats et al., 1992
2130	Valdiya, 1986
2130	Yeats et al., 1992
2131	Valdiya, 1986
2131	Yeats et al., 1992
2132	Nakata et al., 1986
2132	Yeats et al., 1992
2133	Nakata et al., 1986
2133	Yeats et al., 1992
2134	Map of India, 2000
2134	Nakata et al., 1986
2134	Yeats et al., 1992
2135	Map of India, 2000
2135	Valdiya, 1986
2135	Yeats et al., 1992
2136	Map of India, 2000
2136	Valdiya, 1986
2136	Yeats et al., 1992
2137	Map of India, 2000
2137	Valdiya, 1986
2137	Yeats et al., 1992
2138	Map of India, 2000
2138	Valdiya, 1986
2138	Yeats et al., 1992
2139	Valdiya, 1986
2139	Yeats et al., 1992
2140	Map of India, 2000
2140	Valdiya, 1986
2140	Yeats et al., 1992
2141	Valdiya, 1986
2141	Yeats et al., 1992
2142	Map of India, 2000
2142	Valdiya, 1986
2142	Yeats et al., 1992
2143	Valdiya, 1986
2143	Yeats et al., 1992
2144	Map of India, 2000
2144	Valdiya, 1986
2144	Yeats et al., 1992
2145	Map of India, 2000
2145	Valdiya, 1986
2145	Yeats et al., 1992
2146	Valdiya, 1986
2146	Yeats et al., 1992
2147	Valdiya, 1986
2147	Yeats et al., 1992
2148	Valdiya, 1986
2148	Yeats et al., 1992
2149	Map of India, 2000
2149	Valdiya, 1986
2149	Yeats et al., 1992
2150	Map of India, 2000
2150	Valdiya, 1986
2150	Yeats et al., 1992
2151	Valdiya, 1986
2151	Yeats et al., 1992
2152	Valdiya, 1986
2152	Yeats et al., 1992
2153	Valdiya, 1986
2153	Yeats et al., 1992
2154	Map of India, 2000
2154	Valdiya, 1986
2154	Yeats et al., 1992
2155	Map of India, 2000
2155	Valdiya, 1986
2155	Yeats et al., 1992
2156	Valdiya, 1986
2156	Yeats et al., 1992
2157	Valdiya, 1986
2157	Yeats et al., 1992
2158	Map of India, 2000
2159	Map of India, 2000
2159	Yeats et al., 1992
2160	Ruleman et al., 2007
2160	Yeats et al., 1992
2161	Yeats et al., 1992
2162	Map of India, 2000
2162	Yeats et al., 1992
2163	Valdiya, 1986
2163	Yeats et al., 1992
2164	Valdiya, 1986
2164	Yeats et al., 1992
2165	Valdiya, 1986
2165	Yeats et al., 1992
2166	Valdiya, 1986
2166	Yeats et al., 1992
2167	Valdiya, 1986
2167	Yeats et al., 1992
2168	Valdiya, 1986
2168	Yeats et al., 1992
2169	Valdiya, 1986
2169	Yeats et al., 1992
2170	Valdiya, 1986
2170	Yeats et al., 1992
2171	Nakata, 1989
2171	Yeats et al., 1992
2172	Nakata, 1989
2172	Yeats et al., 1992
2173	Nakata et al., 1986
2173	Nakata, 1989
2173	Yeats et al., 1992
2174	Nakata, 1989
2174	Yeats et al., 1992
2175	Nakata, 1989
2175	Yeats et al., 1992
2176	Nakata, 1989
2176	Yeats et al., 1992
2177	Nakata et al., 1986
2177	Nakata, 1989
2177	Yeats et al., 1992
2178	Nakata, 1989
2178	Yeats et al., 1992
2179	Nakata, 1989
2179	Yeats et al., 1992
2180	Nakata, 1989
2180	Yeats et al., 1992
2181	Nakata, 1989
2181	Yeats et al., 1992
2182	Nakata et al., 1986
2182	Valdiya, 1986
2182	Yeats et al., 1992
2183	Yeats et al., 1992
2184	Yeats et al., 1992
2185	Yeats et al., 1992
2186	Yeats et al., 1992
2187	Yeats et al., 1992
2188	Yeats et al., 1992
2189	Yeats et al., 1992
2190	Yeats et al., 1992
2191	Yeats et al., 1992
2192	Yeats et al., 1992
2193	Yeats et al., 1992
2194	Yeats et al., 1992
2195	Yeats et al., 1992
2196	Yeats et al., 1992
2197	Yeats et al., 1992
2198	Styron et al., 2010
2198	Yeats et al., 1992
2199	Yeats et al., 1992
2200	Taylor et al., 2009
2200	Yeats et al., 1992
2201	Yeats et al., 1992
2202	Yeats et al., 1992
2203	Yeats et al., 1992
2204	Yeats et al., 1992
2205	Yeats et al., 1992
2206	Yeats et al., 1992
2207	Yeats et al., 1992
2208	Yeats et al., 1992
2209	Yeats et al., 1992
2210	Taylor et al., 2009
2210	Yeats et al., 1992
2211	Yeats et al., 1992
2212	Yeats et al., 1992
2213	Yeats et al., 1992
2214	Yeats et al., 1992
2215	Yeats et al., 1992
2216	Yeats et al., 1992
2217	Yeats et al., 1992
2218	Yeats et al., 1992
2219	Yeats et al., 1992
2220	Yeats et al., 1992
2221	Yeats et al., 1992
2222	Yeats et al., 1992
2223	Pullen et al., 2011
2223	Yeats et al., 1992
2224	Map of India, 2000
2224	Murphy et al., 2000
2224	Taylor et al., 2009
2224	Yeats et al., 1992
2225	Murphy et al., 2000
2225	Taylor et al., 2009
2225	Yeats et al., 1992
2226	Yeats et al., 1992
2227	Yeats et al., 1992
2228	Yeats et al., 1992
2229	Yeats et al., 1992
2230	Yeats et al., 1992
2231	Yeats et al., 1992
2232	Map of India, 2000
2232	Taylor et al., 2009
2232	Yeats et al., 1992
2233	Yeats et al., 1992
2234	Yeats et al., 1992
2235	Map of India, 2000
2235	Verma et al., 2013
2235	Yeats et al., 1992
2236	Map of India, 2000
2236	Verma et al., 2013
2236	Yeats et al., 1992
2237	Map of India, 2000
2237	Verma et al., 2013
2237	Yeats et al., 1992
2238	Yeats et al., 1992
2239	Yeats et al., 1992
2240	Nakata, 1989
2241	Yeats et al., 1992
2242	Valdiya, 1986
2242	Yeats et al., 1992
2243	Hamilton, 1979
2243	Kozhurin, data 1996
2244	Hamilton, 1979
2244	Katili, 1970
2244	Kozhurin, data 1996
2244	Molnar et al., 2010
2245	Molnar et al., 2010
2246	Hamilton, 1979
2246	Katili, 1970
2246	Kozhurin, data 1996
2247	Hamilton, 1979
2247	Kozhurin, data 1996
2248	Hamilton, 1979
2248	Kozhurin, data 1996
2249	Hamilton, 1979
2249	Kozhurin, data 1996
2249	Molnar et al., 2010
2250	Kozhurin, data 1996
2250	Map of Indonesia, 1993
2250	Molnar et al., 2010
2251	Hamilton, 1979
2251	Kozhurin, data 1996
2252	Hamilton, 1979
2252	Kozhurin, data 1996
2253	Hamilton, 1979
2253	Kozhurin, data 1996
2253	Map of Indonesia, 1993
2254	Hamilton, 1979
2254	Katili, 1970
2254	Kozhurin, data 1996
2254	Map of Indonesia, 1993
2254	Tjia, 1968
2255	Hamilton, 1979
2255	Kozhurin, data 1996
2255	Map of Indonesia, 1993
2256	Kozhurin, data 1996
2256	Map of Indonesia, 1993
2257	Hamilton, 1979
2257	Kozhurin, data 1996
2257	Map of Indonesia, 1993
2258	Kozhurin, data 1996
2258	Map of Indonesia, 1993
2259	Kozhurin, data 1996
2259	Map of Indonesia, 1993
2260	Kozhurin, data 1996
2260	Map of Indonesia, 1993
2261	Hamilton, 1979
2261	Kozhurin, data 1996
2261	Map of Indonesia, 1993
2262	Hamilton, 1979
2262	Kozhurin, data 1996
2262	Map of Indonesia, 1993
2263	Hamilton, 1979
2263	Kozhurin, data 1996
2263	Map of Indonesia, 1993
2264	Hamilton, 1979
2264	Kozhurin, data 1996
2264	Map of Indonesia, 1993
2265	Hamilton, 1979
2265	Kozhurin, data 1996
2265	Map of Indonesia, 1993
2266	Hamilton, 1979
2266	Kozhurin, data 1996
2266	Map of Indonesia, 1993
2267	Hamilton, 1979
2267	Kozhurin, data 1996
2267	Map of Indonesia, 1993
2268	Hamilton, 1979
2268	Kozhurin, data 1996
2268	Map of Indonesia, 1993
2269	Hamilton, 1979
2269	Kozhurin, data 1996
2269	Map of Indonesia, 1993
2270	Bird, 2003
2270	Hamilton, 1979
2270	Kozhurin, data 1996
2270	Molnar et al., 2010
2270	Patria et al., 2021
2271	Hamilton, 1979
2271	Katili, 1970
2271	Kozhurin, data 1996
2271	Molnar et al., 2010
2271	Patria et al., 2021
2272	Katili, 1970
2272	Kozhurin, data 1996
2272	Molnar et al., 2010
2273	Hamilton, 1979
2273	Kozhurin, data 1996
2273	Patria et al., 2021
2274	Hamilton, 1979
2274	Kozhurin, data 1996
2274	Patria et al., 2021
2275	Hamilton, 1979
2275	Kozhurin, data 1996
2276	Hamilton, 1979
2276	Kozhurin, data 1996
2277	Hamilton, 1979
2277	Kozhurin, data 1996
2277	Patria et al., 2021
2278	Hamilton, 1979
2278	Kozhurin, data 1996
2278	Patria et al., 2021
2279	Hamilton, 1979
2279	Kozhurin, data 1996
2280	Hamilton, 1979
2280	Kozhurin, data 1996
2281	Kozhurin, data 1996
2281	Map of Indonesia, 1993
2282	Kozhurin, data 1996
2282	Map of Indonesia, 1993
2282	Molnar et al., 2010
2283	Kozhurin, data 1996
2283	Map of Indonesia, 1993
2284	Hamilton, 1979
2284	Kozhurin, data 1996
2285	Hamilton, 1979
2285	Kozhurin, data 1996
2285	Map of Philippines, 2015
2286	Hamilton, 1979
2286	Kozhurin, data 1996
2286	Map of Philippines, 2015
2287	Hamilton, 1979
2287	Kozhurin, data 1996
2287	Map of Philippines, 2015
2288	Hamilton, 1979
2288	Kozhurin, data 1996
2288	Map of Philippines, 2015
2289	Hamilton, 1979
2289	Kozhurin, data 1996
2290	Hamilton, 1979
2290	Kozhurin, data 1996
2291	Hamilton, 1979
2291	Kozhurin, data 1996
2292	Hamilton, 1979
2292	Kozhurin, data 1996
2293	Hamilton, 1979
2293	Kozhurin, data 1996
2293	Patria et al., 2021
2294	Hamilton, 1979
2294	Kozhurin, data 1996
2294	Patria et al., 2021
2295	Hamilton, 1979
2295	Kozhurin, data 1996
2295	Patria et al., 2021
2296	Hamilton, 1979
2296	Kozhurin, data 1996
2297	Hamilton, 1979
2297	Kozhurin, data 1996
2297	Molnar et al., 2010
2297	Patria et al., 2021
2298	Kozhurin, data 1996
2298	Map of Indonesia, 1993
